Spec. No.,Type/Grade,Nominal Composition,"Min. Temp., ?","Min. Tensile Strength, MPa","Min. Yield Strength, MPa","Max. Use Temp., ?",40,65,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825
A106,B,Carbon Steel,B,414,241,593,138,138,138,138,138,138,138,135,132,129,126,122,118,113,95.1,79.5,62.6,45,31.7,21.4,14.2,9.4,6.89,None,None,None,None,None,None,None,None,None
A312,TP304,18Cr–8Ni,-255,517,207,816,138,138,138,138,138,134,129,125,122,119,116,113,111,109,107,105,103,101,99.1,97.3,95.5,78.9,63.8,51.6,41.6,32.9,26.5,21.3,17.2,14.1,11.2,9.65
A312,TP316,16Cr–12Ni–2Mo,-255,517,207,816,138,138,138,138,138,138,134,129,125,122,119,116,114,112,111,110,109,108,107,106,105,97.8,80.8,65,50.4,38.6,29.6,23,17.4,13.3,10.4,8.96
A312,TP304L,18Cr–8Ni,-255,483,172,816,115,115,115,115,115,114,110,106,103,99.9,97.7,95.7,94.1,92.6,91.3,90,88.7,87.3,85.6,83.7,81.4,40.4,33.2,26.7,21.9,18.2,15,12.4,8.87,7.2,6.58,6.21
A312,TP316L,16Cr-12Ni-2Mo,-255,483,172,816,115,115,115,115,115,113,109,106,103,100,98.1,96.1,94.3,92.6,90.9,89.3,87.6,85.9,84.2,82.5,80.8,79.3,77.9,58,43.6,33,25.3,18.8,14,10.4,7.99,6.89
